질문 index,turn number,질문 카테고리 2단계,질문지,기대 행동,정답지,평가,평가 원인,평가 결과,응답 json 경로
STF-039,1,단일 필터 > 복합 필터 적용,"스테인리스강 Facing인데 Corner Radius 형상으로만 보고 싶고 직경은 10mm, 날수는 4날, 유럽 재고 우선","단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: material=M, unsupportedCuttingType=Facing, toolSubtype=Radius, diameterMm=10, fluteCount=4, countryCode=EUROPE | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,"설명 요청인데 필터가 변경되었습니다: material=M, toolSubtype=Radius, diameterMm=10, fluteCount=4, countryCode=EUROPE","purpose=question | filters=material=M, toolSubtype=Radius, diameterMm=10, fluteCount=4, countryCode=EUROPE",responses/STF-039/turn_01.json
STF-040,1,단일 필터 > 복합 필터 적용,알루미늄용 Roughing 공구 찾는데 T-Coating 말고 다른 코팅으로 12mm 5날 추천해줘,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Aluminum, toolSubtype=Roughing, coating!=T-Coating, diameterMm=12, fluteCount=5 | 기대 결과: 필터 적용 후 추천 또는 추가 질문",통과,"필수 필터 적용 확인: workPieceName=Aluminum, toolSubtype=Roughing, coating!=T-Coating, diameterMm=12, fluteCount=5","purpose=question | filters=workPieceName=Aluminum, toolSubtype=Roughing, coating!=T-Coating, diameterMm=12, fluteCount=5",responses/STF-040/turn_01.json
STF-041,1,단일 필터 > 복합 필터 적용,구리 Trochoidal용 Square 6날 16mm DLC 한국 재고 기준으로 추천해줘,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Copper, unsupportedCuttingType=Trochoidal, toolSubtype=Square, fluteCount=6, diameterMm=16, coating=DLC, countryCode=KOREA | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: workPieceName=Copper,purpose=question | filters=workPieceName=Copper,responses/STF-041/turn_01.json
STF-042,1,단일 필터 > 복합 필터 적용,주철 가공인데 TitaNox-POWER HPC Ball 1/4인치 제품 위주로 보고 싶어요. 8날이면 좋고 Bright Finish면 더 좋아요,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: material=K, brand=TitaNox-Power, toolSubtype=Ball, fluteCount=8, diameterMm=6.35, coating=Bright Finish | 기대 결과: 필터 적용 후 추천 또는 추가 질문",일부 통과,"일부 필터만 적용됨: 적용=material=K, brand=TitaNox-Power, fluteCount=8, diameterMm=6.35, coating=Bright Finish | 누락=toolSubtype=Ball","purpose=question | filters=material=K, brand=TitaNox-Power, diameterMm=6.35, fluteCount=8, coating=Bright Finish",responses/STF-042/turn_01.json
STF-043,1,단일 필터 > 복합 필터 적용,"티타늄 4mm짜리 Corner Radius 엔드밀 추천. ALU-CUT 말고 Y-Coating 코팅 선호, 국가는 유럽","단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Titanium, diameterMm=4, toolSubtype=Radius, brand!=ALU-CUT for Korean Market, coating=Y-Coating, countryCode=EUROPE | 기대 결과: 필터 적용 후 추천 또는 추가 질문",통과,"필수 필터 적용 확인: workPieceName=Titanium, diameterMm=4, toolSubtype=Radius, brand!=ALU-CUT for Korean Market, coating=Y-Coating, countryCode=EUROPE","purpose=recommendation | filters=workPieceName=Titanium, diameterMm=4, toolSubtype=Radius, brand!=ALU-CUT for Korean Market, coating=Y-Coating, countryCode=EUROPE",responses/STF-043/turn_01.json
STF-044,1,단일 필터 > 복합 필터 적용,"인코넬 Profiling인데 Roughing 형상으로만 보고 싶고 직경은 6mm, 날수는 3날, 전체 국가 재고 우선","단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Inconel, unsupportedCuttingType=Profiling, toolSubtype=Roughing, diameterMm=6, fluteCount=3, totalStock>=1 | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,"설명 요청인데 필터가 변경되었습니다: toolSubtype=Roughing, diameterMm=6, fluteCount=3, totalStock>=1","purpose=question | filters=toolSubtype=Roughing, diameterMm=6, fluteCount=3, totalStock>=1",responses/STF-044/turn_01.json
STF-045,1,단일 필터 > 복합 필터 적용,고경도강용 Square 공구 찾는데 TiAlN 말고 다른 코팅으로 8mm 4날 추천해줘,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: material=H, toolSubtype=Square, coating!=TiAlN, diameterMm=8, fluteCount=4 | 기대 결과: 필터 적용 후 추천 또는 추가 질문",통과,"필수 필터 적용 확인: material=H, toolSubtype=Square, coating!=TiAlN, diameterMm=8, fluteCount=4","purpose=question | filters=material=H, toolSubtype=Square, coating!=TiAlN, diameterMm=8, fluteCount=4",responses/STF-045/turn_01.json
STF-046,1,단일 필터 > 복합 필터 적용,탄소강 Side Milling용 Ball 5날 10mm T-Coating 미주 재고 기준으로 추천해줘,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: material=P, cuttingType=Side_Milling, toolSubtype=Ball, fluteCount=5, diameterMm=10, coating=T-Coating, countryCode=AMERICA | 기대 결과: 필터 적용 후 추천 또는 추가 질문",일부 통과,"일부 필터만 적용됨: 적용=diameterMm=10 | 누락=material=P, cuttingType=Side_Milling, toolSubtype=Ball, fluteCount=5, coating=T-Coating, countryCode=AMERICA",purpose=question | filters=diameterMm=10,responses/STF-046/turn_01.json
STF-047,1,단일 필터 > 복합 필터 적용,합금강 가공인데 X5070 Corner Radius 12mm 제품 위주로 보고 싶어요. 6날이면 좋고 DLC면 더 좋아요,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Alloy Steels, brand=X5070, toolSubtype=Radius, fluteCount=6, diameterMm=12, coating=DLC | 기대 결과: 필터 적용 후 추천 또는 추가 질문",일부 통과,"일부 필터만 적용됨: 적용=brand=X5070, fluteCount=6, coating=DLC | 누락=workPieceName=Alloy Steels, toolSubtype=Radius, diameterMm=12","purpose=question | filters=brand=X5070, ballRadiusMm=12, fluteCount=6, coating=DLC",responses/STF-047/turn_01.json
STF-048,1,단일 필터 > 복합 필터 적용,"스테인리스강 16mm짜리 Roughing 엔드밀 추천. TitaNox-POWER HPC 말고 Bright Finish 코팅 선호, 국가는 전체 국가","단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: material=M, diameterMm=16, toolSubtype=Roughing, brand!=TitaNox-Power, coating=Bright Finish, countryCode=ALL | 기대 결과: 필터 적용 후 추천 또는 추가 질문",통과,"필수 필터 적용 확인: material=M, diameterMm=16, toolSubtype=Roughing, brand!=TitaNox-Power, coating=Bright Finish, countryCode=ALL","purpose=recommendation | filters=material=M, diameterMm=16, toolSubtype=Roughing, brand!=TitaNox-Power, coating=Bright Finish",responses/STF-048/turn_01.json
STF-049,1,단일 필터 > 복합 필터 적용,"알루미늄 Slotting인데 Square 형상으로만 보고 싶고 직경은 1/4인치, 날수는 2날, 한국 재고 우선","단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Aluminum, cuttingType=Slotting, toolSubtype=Square, diameterMm=6.35, fluteCount=2, countryCode=KOREA | 기대 결과: 필터 적용 후 추천 또는 추가 질문",일부 통과,"일부 필터만 적용됨: 적용=workPieceName=Aluminum, cuttingType=Slotting, toolSubtype=Square, fluteCount=2, countryCode=KOREA | 누락=diameterMm=6.35","purpose=question | filters=workPieceName=Aluminum, cuttingType=Slotting, toolSubtype=Square, diameterMm=1, fluteCount=2, countryCode=KOREA",responses/STF-049/turn_01.json
STF-050,1,단일 필터 > 복합 필터 적용,구리용 Ball 공구 찾는데 X-Coating 말고 다른 코팅으로 4mm 3날 추천해줘,"단일 turn 문장에서 복수 필터를 한 번에 추출해 추천 엔진에 반영해야 한다. 후보가 충분히 좁혀지면 제품 리스트 추천으로 바로 이어지고, 여전히 넓으면 빠진 핵심 조건만 짧게 되물어야 한다.","필수 필터/의도: workPieceName=Copper, toolSubtype=Ball, coating!=X-Coating, diameterMm=4, fluteCount=3 | 기대 결과: 필터 적용 후 추천 또는 추가 질문",통과,"필수 필터 적용 확인: workPieceName=Copper, toolSubtype=Ball, coating!=X-Coating, diameterMm=4, fluteCount=3","purpose=question | filters=workPieceName=Copper, toolSubtype=Ball, coating!=X-Coating, diameterMm=4, fluteCount=3",responses/STF-050/turn_01.json
MTN-003,1,정상 멀티턴 > 순차 좁히기,스테인리스강 Facing용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: material=M, unsupportedCuttingType=Facing | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: material=M,purpose=question | filters=material=M,responses/MTN-003/turn_01.json
MTN-003,2,정상 멀티턴 > 순차 좁히기,Roughing 형상에 직경은 10mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Roughing, diameterMm=10 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Roughing, diameterMm=10","purpose=question | filters=material=M, toolSubtype=Roughing, diameterMm=10",responses/MTN-003/turn_02.json
MTN-003,3,정상 멀티턴 > 순차 좁히기,6날에 Bright Finish 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=6, coating=Bright Finish | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=6, coating=Bright Finish","purpose=question | filters=material=M, toolSubtype=Roughing, diameterMm=10, fluteCount=6, coating=Bright Finish",responses/MTN-003/turn_03.json
MTN-004,1,정상 멀티턴 > 순차 좁히기,알루미늄 Side Milling용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Aluminum, cuttingType=Side_Milling | 기대 결과: 추천 세션 시작 + 후속 질문",통과,"필수 필터 적용 확인: workPieceName=Aluminum, cuttingType=Side_Milling","purpose=question | filters=workPieceName=Aluminum, cuttingType=Side_Milling",responses/MTN-004/turn_01.json
MTN-004,2,정상 멀티턴 > 순차 좁히기,Square 형상에 직경은 12mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Square, diameterMm=12 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Square, diameterMm=12","purpose=question | filters=workPieceName=Aluminum, cuttingType=Side_Milling, toolSubtype=Square, diameterMm=12",responses/MTN-004/turn_02.json
MTN-004,3,정상 멀티턴 > 순차 좁히기,8날에 Y-Coating 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=8, coating=Y-Coating | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=8, coating=Y-Coating","purpose=question | filters=workPieceName=Aluminum, cuttingType=Side_Milling, toolSubtype=Square, diameterMm=12, fluteCount=8, coating=Y-Coating",responses/MTN-004/turn_03.json
MTN-005,1,정상 멀티턴 > 순차 좁히기,구리 Trochoidal용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Copper, unsupportedCuttingType=Trochoidal | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: workPieceName=Copper,purpose=question | filters=workPieceName=Copper,responses/MTN-005/turn_01.json
MTN-005,2,정상 멀티턴 > 순차 좁히기,Ball 형상에 직경은 16mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Ball, diameterMm=16 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Ball, diameterMm=16","purpose=recommendation | filters=workPieceName=Copper, toolSubtype=Ball, diameterMm=16",responses/MTN-005/turn_02.json
MTN-005,3,정상 멀티턴 > 순차 좁히기,2날에 X-Coating 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=2, coating=X-Coating | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=2, coating=X-Coating","purpose=question | filters=workPieceName=Copper, toolSubtype=Ball, diameterMm=16, fluteCount=2, coating=X-Coating",responses/MTN-005/turn_03.json
MTN-006,1,정상 멀티턴 > 순차 좁히기,주철 Helical Interpolation용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: material=K, unsupportedCuttingType=Helical Interpolation | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: material=K,purpose=question | filters=material=K,responses/MTN-006/turn_01.json
MTN-006,2,정상 멀티턴 > 순차 좁히기,Corner Radius 형상에 직경은 1/4인치로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Radius, diameterMm=6.35 | 기대 결과: 세션 누적 필터 적용",일부 통과,일부 필터만 적용됨: 적용=toolSubtype=Radius | 누락=diameterMm=6.35,"purpose=question | filters=material=K, toolSubtype=Radius, diameterMm=1",responses/MTN-006/turn_02.json
MTN-006,3,정상 멀티턴 > 순차 좁히기,3날에 TiAlN 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=3, coating=TiAlN | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=3, coating=TiAlN","purpose=question | filters=material=K, toolSubtype=Radius, diameterMm=1, fluteCount=3, coating=TiAlN",responses/MTN-006/turn_03.json
MTN-007,1,정상 멀티턴 > 순차 좁히기,티타늄 Slotting용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Titanium, cuttingType=Slotting | 기대 결과: 추천 세션 시작 + 후속 질문",통과,"필수 필터 적용 확인: workPieceName=Titanium, cuttingType=Slotting","purpose=question | filters=workPieceName=Titanium, cuttingType=Slotting",responses/MTN-007/turn_01.json
MTN-007,2,정상 멀티턴 > 순차 좁히기,Roughing 형상에 직경은 4mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Roughing, diameterMm=4 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Roughing, diameterMm=4","purpose=question | filters=workPieceName=Titanium, cuttingType=Slotting, toolSubtype=Roughing, diameterMm=4",responses/MTN-007/turn_02.json
MTN-007,3,정상 멀티턴 > 순차 좁히기,4날에 T-Coating 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=4, coating=T-Coating | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=4, coating=T-Coating","purpose=question | filters=workPieceName=Titanium, cuttingType=Slotting, toolSubtype=Roughing, diameterMm=4, fluteCount=4, coating=T-Coating",responses/MTN-007/turn_03.json
MTN-008,1,정상 멀티턴 > 순차 좁히기,인코넬 Profiling용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Inconel, unsupportedCuttingType=Profiling | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",통과,설명형 응답이 확인됩니다.,purpose=question | filters=none,responses/MTN-008/turn_01.json
MTN-008,2,정상 멀티턴 > 순차 좁히기,Square 형상에 직경은 6mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Square, diameterMm=6 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Square, diameterMm=6","purpose=question | filters=toolSubtype=Square, diameterMm=6",responses/MTN-008/turn_02.json
MTN-008,3,정상 멀티턴 > 순차 좁히기,5날에 DLC 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=5, coating=DLC | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=5, coating=DLC","purpose=question | filters=toolSubtype=Square, diameterMm=6, fluteCount=5, coating=DLC",responses/MTN-008/turn_03.json
MTN-009,1,정상 멀티턴 > 순차 좁히기,고경도강 Facing용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: material=H, unsupportedCuttingType=Facing | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: material=H,purpose=question | filters=material=H,responses/MTN-009/turn_01.json
MTN-009,2,정상 멀티턴 > 순차 좁히기,Ball 형상에 직경은 8mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Ball, diameterMm=8 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Ball, diameterMm=8","purpose=question | filters=material=H, toolSubtype=Ball, diameterMm=8",responses/MTN-009/turn_02.json
MTN-009,3,정상 멀티턴 > 순차 좁히기,6날에 Bright Finish 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=6, coating=Bright Finish | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=6, coating=Bright Finish","purpose=question | filters=material=H, toolSubtype=Ball, diameterMm=8, fluteCount=6, coating=Bright Finish",responses/MTN-009/turn_03.json
MTN-010,1,정상 멀티턴 > 순차 좁히기,탄소강 Side Milling용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: material=P, cuttingType=Side_Milling | 기대 결과: 추천 세션 시작 + 후속 질문",통과,"필수 필터 적용 확인: material=P, cuttingType=Side_Milling","purpose=question | filters=material=P, cuttingType=Side_Milling",responses/MTN-010/turn_01.json
MTN-010,2,정상 멀티턴 > 순차 좁히기,Corner Radius 형상에 직경은 10mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Radius, diameterMm=10 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Radius, diameterMm=10","purpose=question | filters=material=P, cuttingType=Side_Milling, toolSubtype=Radius, diameterMm=10",responses/MTN-010/turn_02.json
MTN-010,3,정상 멀티턴 > 순차 좁히기,8날에 Y-Coating 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=8, coating=Y-Coating | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=8, coating=Y-Coating","purpose=question | filters=material=P, cuttingType=Side_Milling, toolSubtype=Radius, diameterMm=10, fluteCount=8, coating=Y-Coating",responses/MTN-010/turn_03.json
MTN-011,1,정상 멀티턴 > 순차 좁히기,합금강 Trochoidal용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Alloy Steels, unsupportedCuttingType=Trochoidal | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",통과,설명형 응답이 확인됩니다.,purpose=question | filters=none,responses/MTN-011/turn_01.json
MTN-011,2,정상 멀티턴 > 순차 좁히기,Roughing 형상에 직경은 12mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Roughing, diameterMm=12 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Roughing, diameterMm=12","purpose=question | filters=toolSubtype=Roughing, diameterMm=12",responses/MTN-011/turn_02.json
MTN-011,3,정상 멀티턴 > 순차 좁히기,2날에 X-Coating 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=2, coating=X-Coating | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=2, coating=X-Coating","purpose=question | filters=toolSubtype=Roughing, diameterMm=12, fluteCount=2, coating=X-Coating",responses/MTN-011/turn_03.json
MTN-012,1,정상 멀티턴 > 순차 좁히기,스테인리스강 Helical Interpolation용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: material=M, unsupportedCuttingType=Helical Interpolation | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용",실패,설명 요청인데 필터가 변경되었습니다: material=M,purpose=question | filters=material=M,responses/MTN-012/turn_01.json
MTN-012,2,정상 멀티턴 > 순차 좁히기,Square 형상에 직경은 16mm로 보고 싶어,이전 turn의 소재/가공 조건을 유지한 채 형상과 직경 필터를 누적해야 한다. 이전 조건을 잊지 않고 후보 수를 줄이거나 다음 확인 질문으로 이어가야 한다.,"필수 필터/의도: toolSubtype=Square, diameterMm=16 | 기대 결과: 세션 누적 필터 적용",통과,"필수 필터 적용 확인: toolSubtype=Square, diameterMm=16","purpose=question | filters=material=M, toolSubtype=Square, diameterMm=16",responses/MTN-012/turn_02.json
MTN-012,3,정상 멀티턴 > 순차 좁히기,3날에 TiAlN 코팅 우선으로 추천해줘,"누적된 세션에 날수/코팅 조건을 더 적용하고, 후보가 남으면 제품 리스트 추천 또는 상위 제품 제안을 해야 한다. 조건 충돌로 후보가 0개면 대체 조건을 안내해야 한다.","필수 필터/의도: fluteCount=3, coating=TiAlN | 기대 결과: 최종 추천 또는 0건 대안 안내",통과,"필수 필터 적용 확인: fluteCount=3, coating=TiAlN","purpose=question | filters=material=M, toolSubtype=Square, diameterMm=16, fluteCount=3, coating=TiAlN",responses/MTN-012/turn_03.json
MTN-013,1,정상 멀티턴 > 순차 좁히기,알루미늄 Slotting용 엔드밀 추천해줘,"첫 turn에서는 사용자가 준 소재/가공 정보를 필터로 반영하고, 아직 부족한 핵심 조건이 있으면 다음 질문으로 자연스럽게 좁혀가야 한다.","필수 필터/의도: workPieceName=Aluminum, cuttingType=Slotting | 기대 결과: 추천 세션 시작 + 후속 질문",통과,"필수 필터 적용 확인: workPieceName=Aluminum, cuttingType=Slotting","purpose=question | filters=workPieceName=Aluminum, cuttingType=Slotting",responses/MTN-013/turn_01.json
